state,value
Alaska,0
Alabama,56
Arkansas,27
Arizona,37
California,13
Colorado,1
Connecticut,1
District of Columbia,0
Delaware,16
Florida,91
Georgia,60
Hawaii,0
Iowa,0
Idaho,3
Illinois,12
Indiana,20
Kansas,0
Kentucky,3
Louisiana,28
Massachusetts,0
Maryland,5
Maine,0
Michigan,0
Minnesota,0
Missouri,86
Mississippi,21
Montana,3
North Carolina,43
North Dakota,0
Nebraska,3
New Hampshire,0
New Jersey,0
New Mexico,1
Nevada,12
New York,0
Ohio,53
Oklahoma,112
Oregon,2
Pennsylvania,3
Rhode Island,0
South Carolina,43
South Dakota,3
Tennessee,6
Texas,531
Utah,7
Virginia,111
Vermont,0
Washington,5
Wisconsin,0
West Virginia,0
Wyoming,1
Puerto Rico,0